level_strict3,locale_simple,reason,start_year,end_year,start_rate,end_rate,abs_change,pct_change,log_change,direction
Other/Unknown,Town,Weapons,2017-18,2023-24,0.002114579110930955,0.001989147548358075,-1.2543156257288027e-4,-0.0593175076422931,-0.061149611469326424,Decrease
Alternative,Suburban,Weapons,2017-18,2023-24,0.0019455582060261551,0.001843196629583306,-1.0236157644284921e-4,-0.052612960190959776,-0.05404756833163131,Decrease
Other/Unknown,Rural,Weapons,2017-18,2023-24,0.0020488024749533897,0.0019589579112131135,-8.98445637402762e-5,-0.04385223311599141,-0.04484281000481635,Decrease
High,Suburban,Weapons,2017-18,2023-24,0.0017051529414656328,0.0016203565750880645,-8.47963663775683e-5,-0.049729478403669265,-0.051008575348778125,Decrease
Elementary,City,Illicit Drug,2017-18,2023-24,1.363582130256183e-4,2.0851244933575933e-4,7.215423631014103e-5,NA,0.4247134061451792,Increase
Middle,Town,Weapons,2017-18,2023-24,0.0028283836619249648,0.002792561929167488,-3.5821732757476774e-5,-0.012665089690518478,-0.012745975616335743,Decrease
Elementary,Unknown,Illicit Drug,2017-18,2023-24,2.633484758706959e-4,NA,NA,NA,NA,NA
Elementary,Unknown,Other,2017-18,2023-24,0.0019092764500625453,NA,NA,NA,NA,NA
Elementary,Unknown,Violent (Injury),2017-18,2023-24,0.008427151227862268,NA,NA,NA,NA,NA
Elementary,Unknown,Violent (No Injury),2017-18,2023-24,0.02087036671275265,NA,NA,NA,NA,NA
Elementary,Unknown,Weapons,2017-18,2023-24,9.217196655474356e-4,NA,NA,NA,NA,NA
Elementary,Unknown,Willful Defiance,2017-18,2023-24,0.002501810520771611,NA,NA,NA,NA,NA
High,Unknown,Illicit Drug,2017-18,2023-24,0.004434175826740414,NA,NA,NA,NA,NA
High,Unknown,Other,2017-18,2023-24,0.001260239445494644,NA,NA,NA,NA,NA
High,Unknown,Violent (Injury),2017-18,2023-24,0.004177460384139653,NA,NA,NA,NA,NA
High,Unknown,Violent (No Injury),2017-18,2023-24,0.01243903008238232,NA,NA,NA,NA,NA
High,Unknown,Weapons,2017-18,2023-24,6.067819552381619e-4,NA,NA,NA,NA,NA
High,Unknown,Willful Defiance,2017-18,2023-24,0.006137832854909099,NA,NA,NA,NA,NA
